selection_rank,score,query_rssi_file,query_bin_file,packet_index,true_location,confusing_location,state,corridor_id,rssi_top1_location,rssi_top2_location,true_rank_in_rssi_posterior,confusing_rank_in_rssi_posterior,rssi_posterior_true,rssi_posterior_confusing,rssi_posterior_abs_gap,rssi_posterior_ratio,raw_q1_rmse_to_true_db,raw_q1_rmse_to_confusing_db,raw_q1_gain_db,q4_rmse_to_true_db,q4_rmse_to_confusing_db,q4_gain_db,true_template_packet_count,confusing_template_packet_count,note
12,7.611514971881524,2_0_36_11_2_16.txt,2_0_36_11_2_16.bin,14,36,26,OLOS,0,36,26,1,2,0.13419266968782806,0.1206188574279447,0.013573812259883355,0.8988483328377022,5.631250354398287,4.803330009557526,-0.827920344840761,5.0965924868265065,6.494540771252246,1.3979482844257394,15,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
13,7.607115125359024,2_0_33_11_2_16.txt,2_0_33_11_2_16.bin,5,33,34,LOS,0,33,34,1,2,0.22817244403752995,0.2250694432649433,0.003103000772586656,0.986400633145358,9.030917434419706,7.291833219374439,-1.739084215045267,7.085254997516285,8.198105670689456,1.1128506731731713,19,11,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
14,7.507253391814419,2_0_38_11_2_16.txt,2_0_38_11_2_16.bin,5,38,26,OLOS,0,38,26,1,2,0.1758890362145408,0.15215093809432229,0.023738098120218515,0.8650393530426539,4.617639176960645,5.888139917929878,1.2705007409692328,1.9621093699776855,3.3728475397675752,1.4107381697898898,8,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
15,7.390764121511817,2_1_21_11_2_16.txt,2_1_21_11_2_16.bin,13,21,22,OLOS,1,43,22,3,2,0.12635957238905562,0.1269887402607051,0.0006291678716494886,0.9950454830061483,2.749055497999943,4.088861189169986,1.3398056911700431,3.8374066519546624,5.916692171234716,2.0792855192800532,14,11,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
16,7.325976464567593,2_0_36_11_2_16.txt,2_0_36_11_2_16.bin,13,36,29,OLOS,0,37,29,3,2,0.11175997279361194,0.11762668143967368,0.005866708646061744,0.9501243376565838,5.038546148934637,4.438210418216358,-0.6003357307182791,5.00807320414018,7.1605151460527665,2.1524419419125866,15,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
17,7.322120242573131,2_1_29_11_2_16.txt,2_1_29_11_2_16.bin,0,29,36,OLOS,1,29,36,1,2,0.2181654675117173,0.20711725840537085,0.011048209106346463,0.9493585798322868,9.643964490649486,8.872101620381025,-0.7718628702684605,5.916530515800948,6.996152449912271,1.0796219341113238,14,16,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
18,7.184133588541738,2_0_38_11_2_16.txt,2_0_38_11_2_16.bin,3,38,26,OLOS,0,38,26,1,2,0.1701184637365499,0.14647091950326976,0.023647544233280138,0.8609936645683482,5.650626863954954,6.655246473376569,1.0046196094216153,3.039222857918325,4.299742184883162,1.2605193269648374,8,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
19,7.13888231489448,2_0_37_11_2_16.txt,2_0_37_11_2_16.bin,12,37,36,OLOS,0,37,36,1,2,0.17426475791236806,0.14796862892047147,0.026296128991896595,0.849102427209522,3.6544472014197815,4.967537232280621,1.313090030860839,3.7610355018023967,5.027186969978417,1.2661514681760204,12,16,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
20,7.0568353533543835,2_1_25_11_2_16.txt,2_1_25_11_2_16.bin,6,25,38,OLOS,1,38,25,2,1,0.1316429979766473,0.13416923454876722,0.002526236572119922,0.9811712679093977,13.411517720130558,11.775945785385261,-1.6355719347452968,4.845015896019285,5.781401737430272,0.9363858414109876,14,9,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
21,7.004167142875919,2_1_24_11_2_16.txt,2_1_24_11_2_16.bin,3,24,40,OLOS,1,40,24,2,1,0.15566318216490357,0.16558296670038455,0.00991978453548098,0.9400917574243587,3.280969616783728,3.4395958183294923,0.15862620154576446,5.490439462668005,6.471361246214187,0.9809217835461821,14,10,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
22,6.951425521501064,2_0_44_11_2_16.txt,2_0_44_11_2_16.bin,1,44,19,OLOS,0,44,19,1,2,0.17870966911610245,0.15894602137329883,0.01976364774280362,0.889409186192585,3.8548095350391502,4.085761401750541,0.23095186671139079,4.630623319091976,5.702212694022948,1.071589374930972,9,19,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
23,6.946377596536252,2_0_34_11_2_16.txt,2_0_34_11_2_16.bin,9,34,29,LOS,0,29,34,2,1,0.24658527292578528,0.2506551787002722,0.004069905774486932,0.9837629296326902,6.264280328810944,7.5213305905226555,1.2570502617117114,6.7458030723044775,7.515076779182975,0.7692737068784972,10,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
24,6.909128919922018,2_0_42_11_2_16.txt,2_0_42_11_2_16.bin,10,42,39,OLOS,0,42,44,1,3,0.21075195591072907,0.17400185200129792,0.03675010390943115,0.8256239010896873,5.781110591039022,7.714455889599911,1.933345298560889,4.790673216693014,6.998175440610634,2.2075022239176203,10,2,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
25,6.884924566943881,2_0_34_11_2_16.txt,2_0_34_11_2_16.bin,5,34,29,LOS,0,29,34,2,1,0.2143758420554186,0.21452774804453031,0.00015190598911171693,0.9992919051707931,4.12394685403579,5.931636942602904,1.8076900885671146,6.59766388172709,7.327496042338425,0.7298321606113349,10,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
26,6.796290052254272,2_0_43_11_2_16.txt,2_0_43_11_2_16.bin,17,43,23,OLOS,0,43,23,1,2,0.16799644920472262,0.14990935934984892,0.0180870898548737,0.8923364753213769,6.835725036696573,7.947682139995586,1.1119571032990132,4.945160551604278,5.936283409746432,0.9911228581421536,19,17,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
27,6.714237748109011,2_1_24_11_2_16.txt,2_1_24_11_2_16.bin,5,24,40,OLOS,1,24,40,1,2,0.17247933958423625,0.14004938286210536,0.03242995672213089,0.8119777313601517,2.4857969589962368,2.7413651082544255,0.2555681492581887,4.7438418894731935,5.888879588874955,1.1450376994017617,14,10,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
28,6.679051639847058,2_0_43_11_2_16.txt,2_0_43_11_2_16.bin,9,43,21,OLOS,0,43,21,1,2,0.17033992821865643,0.14950507913613878,0.020834849082517648,0.8776866392959081,8.165821575487618,10.584254731481371,2.4184331559937533,4.060512855741212,5.02776045845607,0.967247602714858,19,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
29,6.6159985717880385,2_0_44_11_2_16.txt,2_0_44_11_2_16.bin,6,44,42,OLOS,0,44,42,1,2,0.24316938999168036,0.19276889553281873,0.05040049445886163,0.7927350376600196,3.406769410985096,3.7243730585582813,0.3176036475731854,2.690109129747539,3.8430391886835875,1.1529300589360485,9,11,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
30,6.572092009992038,2_1_25_11_2_16.txt,2_1_25_11_2_16.bin,1,25,26,OLOS,1,25,26,1,2,0.13960980031330636,0.12526326075771008,0.014346539555596283,0.8972383061690484,7.149620437030782,7.976411124181784,0.8267906871510018,5.3748857831662455,6.254370496151165,0.8794847129849197,14,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
