split,file_name,packet_index,true_label,rssi_rank,lda_rank,fusion_rank,rssi_top5,lda_top5,fusion_top5,union_candidates,union_length,true_in_fusion_top5,true_in_union
validation,2_0_36_11_2_16.bin,9,0_36,1,1,1,0_36;1_27;0_37;1_26;1_22,0_36;1_27;1_26;0_37;0_35,0_36;1_27;1_26;0_37;0_35,0_36;1_27;1_26;0_37;0_35;1_22,6,1,1
validation,2_0_36_11_2_16.bin,14,0_36,2,1,1,1_27;0_36;1_28;0_38;0_37,0_36;0_37;1_27;0_35;1_26,0_36;1_27;0_37;0_35;1_26,0_36;0_37;1_27;0_35;1_26;1_28;0_38,7,1,1
validation,2_0_36_11_2_16.bin,16,0_36,2,1,1,0_37;0_36;1_27;1_26;1_29,0_36;0_37;1_27;1_26;0_35,0_36;0_37;1_27;1_26;0_35,0_36;0_37;1_27;1_26;0_35;1_29,6,1,1
validation,2_0_37_11_2_16.bin,0,0_37,5,1,1,0_38;1_26;1_23;1_24;0_37,0_37;0_38;0_36;1_23;1_24,0_37;0_38;0_36;1_23;1_24,0_37;0_38;0_36;1_23;1_24;1_26,6,1,1
validation,2_0_37_11_2_16.bin,1,0_37,1,1,1,0_37;1_26;0_38;1_23;1_27,0_37;0_38;0_36;1_23;1_26,0_37;0_38;0_36;1_23;1_26,0_37;0_38;0_36;1_23;1_26;1_27,6,1,1
validation,2_0_37_11_2_16.bin,4,0_37,1,1,1,0_37;0_36;1_26;1_27;1_23,0_37;0_38;0_36;1_23;1_24,0_37;0_38;0_36;1_23;1_26,0_37;0_38;0_36;1_23;1_24;1_26;1_27,7,1,1
validation,2_0_37_11_2_16.bin,8,0_37,1,1,1,0_37;0_36;1_28;0_35;0_40,0_37;0_38;0_36;1_24;1_27,0_37;0_36;0_38;1_26;1_23,0_37;0_38;0_36;1_24;1_27;1_28;0_35;0_40,8,1,1
validation,2_0_38_11_2_16.bin,1,0_38,1,1,1,0_38;1_21;1_23;0_37;1_24,0_38;0_37;1_23;0_39;1_22,0_38;0_37;1_23;0_39;0_40,0_38;0_37;1_23;0_39;1_22;1_21;1_24,7,1,1
validation,2_0_38_11_2_16.bin,6,0_38,1,1,1,0_38;1_25;1_24;1_23;1_26,0_38;0_37;1_23;1_24;0_40,0_38;0_37;1_23;1_24;0_39,0_38;0_37;1_23;1_24;0_40;1_25;1_26,7,1,1
validation,2_0_38_11_2_16.bin,10,0_38,3,1,2,1_23;0_39;0_38;1_25;0_37,0_38;1_23;0_37;0_39;1_21,1_23;0_38;0_39;0_37;1_24,0_38;1_23;0_37;0_39;1_21;1_25,6,1,1
validation,2_0_38_11_2_16.bin,12,0_38,2,1,1,1_23;0_38;1_25;0_39;1_24,0_38;0_37;1_23;0_39;0_40,0_38;0_37;1_23;0_39;1_24,0_38;0_37;1_23;0_39;0_40;1_25;1_24,7,1,1
validation,2_0_39_11_2_16.bin,0,0_39,2,1,1,1_19;0_39;1_20;0_42;0_44,0_39;1_17;1_23;1_20;1_24,0_39;1_23;1_17;1_20;1_24,0_39;1_17;1_23;1_20;1_24;1_19;0_42;0_44,8,1,1
validation,2_0_39_11_2_16.bin,5,0_39,1,1,1,0_39;1_20;1_19;0_42;0_45,0_39;1_20;1_23;1_21;0_38,0_39;1_20;1_23;1_19;1_21,0_39;1_20;1_23;1_21;0_38;1_19;0_42;0_45,8,1,1
validation,2_0_39_11_2_16.bin,14,0_39,1,1,1,0_39;1_23;1_25;1_19;0_42,0_39;1_23;0_38;1_20;1_21,0_39;1_23;0_38;1_20;1_21,0_39;1_23;0_38;1_20;1_21;1_25;1_19;0_42,8,1,1
validation,2_0_39_11_2_16.bin,16,0_39,1,1,1,0_39;1_20;1_19;0_42;0_45,0_39;1_23;1_20;0_38;1_19,0_39;1_20;1_23;1_19;0_38,0_39;1_23;1_20;0_38;1_19;0_42;0_45,7,1,1
validation,2_0_40_11_2_16.bin,1,0_40,1,1,1,0_40;1_21;0_38;1_22;0_43,0_40;1_21;1_22;1_23;0_38,0_40;1_21;1_22;1_23;0_38,0_40;1_21;1_22;1_23;0_38;0_43,6,1,1
validation,2_0_40_11_2_16.bin,7,0_40,1,2,2,0_40;1_21;0_38;0_43;1_24,1_21;0_40;1_22;1_20;1_23,1_21;0_40;1_22;1_20;0_38,1_21;0_40;1_22;1_20;1_23;0_38;0_43;1_24,8,1,1
validation,2_0_40_11_2_16.bin,12,0_40,1,1,1,0_40;1_21;1_24;0_38;0_43,0_40;1_21;1_22;1_23;0_38,0_40;1_21;1_22;1_23;0_38,0_40;1_21;1_22;1_23;0_38;1_24;0_43,7,1,1
validation,2_0_40_11_2_16.bin,19,0_40,3,3,3,1_21;0_38;0_40;1_23;0_43,1_21;1_22;0_40;1_20;1_23,1_21;1_22;0_40;1_20;1_23,1_21;1_22;0_40;1_20;1_23;0_38;0_43,7,1,1
validation,2_0_42_11_2_16.bin,6,0_42,3,2,3,1_19;1_20;0_42;0_44;0_43,1_20;0_42;1_19;1_21;0_43,1_20;1_19;0_42;1_21;0_44,1_20;0_42;1_19;1_21;0_43;0_44,6,1,1
validation,2_0_42_11_2_16.bin,12,0_42,3,2,2,1_21;0_43;0_42;1_20;1_23,0_43;0_42;1_19;1_20;0_44,0_43;0_42;1_21;1_20;0_44,0_43;0_42;1_19;1_20;0_44;1_21;1_23,7,1,1
validation,2_0_42_11_2_16.bin,13,0_42,4,1,1,0_43;1_23;0_39;0_42;1_21,0_42;0_44;0_43;1_19;1_21,0_42;0_43;0_44;1_19;1_21,0_42;0_44;0_43;1_19;1_21;1_23;0_39,7,1,1
validation,2_0_42_11_2_16.bin,15,0_42,2,1,1,0_43;0_42;1_23;0_44;1_20,0_42;0_43;1_19;0_44;1_20,0_42;0_43;0_44;1_19;1_20,0_42;0_43;1_19;0_44;1_20;1_23,6,1,1
validation,2_0_43_11_2_16.bin,5,0_43,1,1,1,0_43;1_21;0_40;1_22;0_50,0_43;0_42;0_44;1_21;1_19,0_43;0_42;1_21;0_44;0_40,0_43;0_42;0_44;1_21;1_19;0_40;1_22;0_50,8,1,1
validation,2_0_43_11_2_16.bin,6,0_43,1,1,1,0_43;1_20;0_44;1_21;0_42,0_43;0_42;0_44;1_19;1_20,0_43;0_42;0_44;1_19;1_20,0_43;0_42;0_44;1_19;1_20;1_21,6,1,1
validation,2_0_43_11_2_16.bin,11,0_43,1,1,1,0_43;1_21;0_42;0_50;1_20,0_43;0_44;0_42;1_19;1_20,0_43;0_42;0_44;1_19;1_20,0_43;0_44;0_42;1_19;1_20;1_21;0_50,7,1,1
validation,2_0_43_11_2_16.bin,17,0_43,2,1,1,1_21;0_43;0_50;1_23;0_42,0_43;0_42;0_44;1_19;1_21,0_43;0_42;0_44;1_21;1_19,0_43;0_42;0_44;1_19;1_21;0_50;1_23,7,1,1
validation,2_0_44_11_2_16.bin,1,0_44,1,1,1,0_44;0_42;1_20;1_19;0_39,0_44;0_42;0_43;1_19;1_20,0_44;0_42;1_19;0_43;1_20,0_44;0_42;0_43;1_19;1_20;0_39,6,1,1
validation,2_0_44_11_2_16.bin,6,0_44,1,1,1,0_44;0_42;1_19;1_20;0_39,0_44;0_42;0_43;1_19;1_20,0_44;0_42;0_43;1_19;1_20,0_44;0_42;0_43;1_19;1_20;0_39,6,1,1
validation,2_0_44_11_2_16.bin,7,0_44,1,1,1,0_44;1_19;0_42;1_20;0_43,0_44;0_42;0_43;1_19;1_20,0_44;0_42;0_43;1_19;1_20,0_44;0_42;0_43;1_19;1_20,5,1,1
validation,2_0_44_11_2_16.bin,10,0_44,1,1,1,0_44;0_50;0_42;0_43;1_19,0_44;0_43;0_42;1_19;1_20,0_44;0_42;0_43;1_19;1_20,0_44;0_43;0_42;1_19;1_20;0_50,6,1,1
validation,2_0_45_11_2_16.bin,1,0_45,1,1,1,0_45;1_17;0_48;1_18;1_19,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44;1_19,6,1,1
validation,2_0_45_11_2_16.bin,2,0_45,1,1,1,0_45;0_48;1_17;1_18;1_19,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44;1_19,6,1,1
validation,2_0_45_11_2_16.bin,5,0_45,1,1,1,0_45;1_17;0_48;1_18;1_19,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44,0_45;0_48;1_17;1_18;0_44;1_19,6,1,1
validation,2_0_45_11_2_16.bin,12,0_45,1,1,1,0_45;1_19;0_48;0_42;1_20,0_45;0_44;0_48;1_18;0_42,0_45;0_44;0_48;0_42;1_18,0_45;0_44;0_48;1_18;0_42;1_19;1_20,7,1,1
validation,2_0_48_11_2_16.bin,0,0_48,1,1,1,0_48;1_17;1_18;1_16;0_45,0_48;1_16;0_45;1_17;1_18,0_48;1_16;0_45;1_17;1_18,0_48;1_16;0_45;1_17;1_18,5,1,1
validation,2_0_48_11_2_16.bin,3,0_48,1,1,1,0_48;0_45;1_19;1_17;0_42,0_48;0_45;0_50;0_44;1_17,0_48;0_45;0_50;0_44;1_17,0_48;0_45;0_50;0_44;1_17;1_19;0_42,7,1,1
validation,2_0_48_11_2_16.bin,17,0_48,1,1,1,0_48;1_17;1_18;1_16;0_45,0_48;0_45;1_16;1_17;1_18,0_48;0_45;1_16;1_17;1_18,0_48;0_45;1_16;1_17;1_18,5,1,1
validation,2_0_48_11_2_16.bin,18,0_48,1,1,1,0_48;1_17;1_18;1_16;0_45,0_48;0_45;1_16;1_17;1_18,0_48;0_45;1_16;1_17;1_18,0_48;0_45;1_16;1_17;1_18,5,1,1
validation,2_0_50_11_2_16.bin,1,0_50,1,1,1,0_50;0_43;0_44;0_42;1_21,0_50;0_48;0_44;0_43;0_45,0_50;0_48;0_44;0_43;0_42,0_50;0_48;0_44;0_43;0_45;0_42;1_21,7,1,1
validation,2_0_50_11_2_16.bin,2,0_50,1,1,1,0_50;0_43;0_44;0_42;0_40,0_50;0_44;0_48;0_43;0_45,0_50;0_44;0_48;0_43;0_42,0_50;0_44;0_48;0_43;0_45;0_42;0_40,7,1,1
validation,2_0_50_11_2_16.bin,5,0_50,1,1,1,0_50;0_43;1_21;0_42;0_44,0_50;0_48;0_44;0_43;0_45,0_50;0_44;0_48;0_43;1_21,0_50;0_48;0_44;0_43;0_45;1_21;0_42,7,1,1
validation,2_0_50_11_2_16.bin,8,0_50,1,1,1,0_50;0_43;0_42;0_44;1_21,0_50;0_48;0_44;0_45;0_43,0_50;0_48;0_44;0_43;0_45,0_50;0_48;0_44;0_45;0_43;0_42;1_21,7,1,1
validation,2_1_16_11_2_16.bin,0,1_16,1,1,1,1_16;1_17;0_48;1_18;2_15,1_16;1_18;1_17;0_48;0_45,1_16;1_18;1_17;0_48;0_45,1_16;1_18;1_17;0_48;0_45;2_15,6,1,1
validation,2_1_16_11_2_16.bin,9,1_16,1,1,1,1_16;1_17;0_48;1_18;2_15,1_16;1_17;1_18;0_48;0_45,1_16;1_17;1_18;0_48;0_45,1_16;1_17;1_18;0_48;0_45;2_15,6,1,1
validation,2_1_16_11_2_16.bin,11,1_16,1,1,1,1_16;1_17;1_18;0_48;0_45,1_16;1_17;1_18;0_48;0_45,1_16;1_17;1_18;0_48;0_45,1_16;1_17;1_18;0_48;0_45,5,1,1
validation,2_1_16_11_2_16.bin,20,1_16,1,1,1,1_16;1_17;0_48;1_18;2_15,1_16;1_17;0_45;1_18;0_48,1_16;1_17;1_18;0_48;0_45,1_16;1_17;0_45;1_18;0_48;2_15,6,1,1
validation,2_1_17_11_2_16.bin,4,1_17,1,1,1,1_17;1_16;1_18;0_48;0_45,1_17;1_16;1_18;0_45;0_48,1_17;1_16;1_18;0_45;0_48,1_17;1_16;1_18;0_45;0_48,5,1,1
validation,2_1_17_11_2_16.bin,9,1_17,2,3,3,1_16;1_17;1_18;0_48;2_15,1_16;1_18;1_17;0_48;0_45,1_16;1_18;1_17;0_48;0_45,1_16;1_18;1_17;0_48;0_45;2_15,6,1,1
validation,2_1_17_11_2_16.bin,10,1_17,1,1,1,1_17;0_45;0_48;1_18;1_20,1_17;1_18;1_16;1_20;1_19,1_17;1_18;1_16;1_20;0_45,1_17;1_18;1_16;1_20;1_19;0_45;0_48,7,1,1
validation,2_1_17_11_2_16.bin,14,1_17,1,1,1,1_17;1_16;1_18;0_48;0_45,1_17;1_18;1_16;0_45;0_48,1_17;1_18;1_16;0_45;0_48,1_17;1_18;1_16;0_45;0_48,5,1,1
validation,2_1_18_11_2_16.bin,1,1_18,3,1,1,1_17;0_45;1_18;0_48;1_20,1_18;1_20;1_19;0_42;0_44,1_18;1_20;1_19;0_42;1_17,1_18;1_20;1_19;0_42;0_44;1_17;0_45;0_48,8,1,1
validation,2_1_18_11_2_16.bin,6,1_18,1,1,1,1_18;1_17;0_45;0_48;1_16,1_18;1_17;1_20;1_19;1_16,1_18;1_17;1_16;1_20;1_19,1_18;1_17;1_20;1_19;1_16;0_45;0_48,7,1,1
validation,2_1_18_11_2_16.bin,13,1_18,1,1,1,1_18;1_17;1_16;0_48;0_45,1_18;1_16;1_17;1_19;1_20,1_18;1_16;1_17;0_45;1_19,1_18;1_16;1_17;1_19;1_20;0_48;0_45,7,1,1
validation,2_1_18_11_2_16.bin,19,1_18,1,1,1,1_18;1_17;0_48;0_45;1_16,1_18;1_17;1_16;1_19;1_20,1_18;1_17;1_16;1_20;1_19,1_18;1_17;1_16;1_19;1_20;0_48;0_45,7,1,1
validation,2_1_19_11_2_16.bin,2,1_19,1,1,1,1_19;0_42;1_20;0_44;0_39,1_19;1_20;0_42;1_21;0_44,1_19;1_20;0_42;0_44;1_21,1_19;1_20;0_42;1_21;0_44;0_39,6,1,1
validation,2_1_19_11_2_16.bin,3,1_19,1,1,1,1_19;1_20;0_42;0_44;0_39,1_19;0_42;1_20;0_43;0_44,1_19;0_42;1_20;0_44;0_43,1_19;0_42;1_20;0_43;0_44;0_39,6,1,1
validation,2_1_19_11_2_16.bin,6,1_19,1,1,1,1_19;0_45;0_48;0_42;1_20,1_19;1_20;0_42;1_18;0_44,1_19;1_20;0_42;1_18;0_44,1_19;1_20;0_42;1_18;0_44;0_45;0_48,7,1,1
validation,2_1_19_11_2_16.bin,19,1_19,1,1,1,1_19;0_42;1_20;0_44;0_39,1_19;0_42;1_20;0_43;1_21,1_19;0_42;1_20;0_43;0_44,1_19;0_42;1_20;0_43;1_21;0_44;0_39,7,1,1
validation,2_1_20_11_2_16.bin,1,1_20,3,1,1,1_19;0_42;1_20;0_39;0_44,1_20;1_19;0_42;1_21;0_39,1_20;1_19;0_42;1_21;0_39,1_20;1_19;0_42;1_21;0_39;0_44,6,1,1
validation,2_1_20_11_2_16.bin,6,1_20,15,5,6,0_43;1_23;0_38;0_40;0_39,0_43;1_21;0_42;0_40;1_20,0_43;1_21;0_40;0_42;1_22,0_43;1_21;0_42;0_40;1_20;1_23;0_38;0_39,8,0,1
validation,2_1_20_11_2_16.bin,13,1_20,1,1,1,1_20;1_19;0_45;0_39;0_42,1_20;1_19;0_42;1_18;0_39,1_20;1_19;0_42;0_39;1_18,1_20;1_19;0_42;1_18;0_39;0_45,6,1,1
validation,2_1_20_11_2_16.bin,18,1_20,4,1,1,0_44;0_42;1_19;1_20;1_23,1_20;0_42;1_19;1_21;0_44,1_20;0_42;1_19;0_44;1_21,1_20;0_42;1_19;1_21;0_44;1_23,6,1,1
validation,2_1_21_11_2_16.bin,8,1_21,3,1,1,0_40;1_24;1_21;0_38;1_22,1_21;0_40;1_22;1_20;0_42,1_21;0_40;1_22;1_20;0_38,1_21;0_40;1_22;1_20;0_42;1_24;0_38,7,1,1
validation,2_1_21_11_2_16.bin,11,1_21,1,1,1,1_21;0_40;0_38;0_43;1_23,1_21;1_22;0_40;1_20;1_23,1_21;0_40;1_22;1_23;1_20,1_21;1_22;0_40;1_20;1_23;0_38;0_43,7,1,1
validation,2_1_21_11_2_16.bin,14,1_21,2,3,3,0_40;1_21;1_22;0_38;0_37,0_40;1_22;1_21;0_43;0_42,0_40;1_22;1_21;0_43;0_42,0_40;1_22;1_21;0_43;0_42;0_38;0_37,7,1,1
validation,2_1_21_11_2_16.bin,18,1_21,2,3,2,0_40;1_21;1_22;0_38;0_37,0_40;1_22;1_21;0_43;1_23,0_40;1_21;1_22;0_43;1_23,0_40;1_22;1_21;0_43;1_23;0_38;0_37,7,1,1
validation,2_1_22_11_2_16.bin,2,1_22,1,2,1,1_22;0_40;1_21;0_37;0_38,1_21;1_22;0_40;1_23;0_38,1_22;1_21;0_40;0_38;1_23,1_21;1_22;0_40;1_23;0_38;0_37,6,1,1
validation,2_1_22_11_2_16.bin,9,1_22,1,1,1,1_22;0_37;0_38;0_43;0_40,1_22;0_40;1_23;1_21;0_38,1_22;0_40;1_23;1_21;0_38,1_22;0_40;1_23;1_21;0_38;0_37;0_43,7,1,1
validation,2_1_22_11_2_16.bin,12,1_22,1,1,1,1_22;0_37;1_21;0_36;1_27,1_22;1_21;0_40;1_23;0_38,1_22;1_21;0_40;1_23;0_38,1_22;1_21;0_40;1_23;0_38;0_37;0_36;1_27,8,1,1
validation,2_1_22_11_2_16.bin,16,1_22,1,1,1,1_22;0_37;1_21;1_23;0_36,1_22;1_21;0_40;1_23;0_38,1_22;1_21;1_23;0_40;0_38,1_22;1_21;0_40;1_23;0_38;0_37;0_36,7,1,1
validation,2_1_23_11_2_16.bin,4,1_23,1,1,1,1_23;0_39;1_21;0_38;1_25,1_23;0_38;1_22;0_39;1_21,1_23;0_38;0_39;1_21;1_24,1_23;0_38;1_22;0_39;1_21;1_25,6,1,1
validation,2_1_23_11_2_16.bin,8,1_23,2,1,1,0_39;1_23;0_38;1_25;1_21,1_23;0_38;1_24;1_22;1_21,1_23;0_38;1_24;1_21;0_39,1_23;0_38;1_24;1_22;1_21;0_39;1_25,7,1,1
validation,2_1_23_11_2_16.bin,10,1_23,4,1,1,0_39;0_38;1_24;1_23;1_25,1_23;1_24;0_38;0_40;1_22,1_23;1_24;0_38;1_21;0_40,1_23;1_24;0_38;0_40;1_22;0_39;1_25,7,1,1
validation,2_1_23_11_2_16.bin,16,1_23,1,1,1,1_23;0_39;1_21;0_38;1_25,1_23;1_24;0_38;1_22;0_40,1_23;0_38;1_24;1_21;1_22,1_23;1_24;0_38;1_22;0_40;0_39;1_21;1_25,8,1,1
validation,2_1_24_11_2_16.bin,1,1_24,1,1,1,1_24;0_38;1_25;0_40;1_20,1_24;1_23;1_25;0_38;1_26,1_24;1_23;1_25;0_38;1_26,1_24;1_23;1_25;0_38;1_26;0_40;1_20,7,1,1
validation,2_1_24_11_2_16.bin,3,1_24,1,1,1,1_24;0_38;1_25;0_40;1_21,1_24;1_23;0_38;1_25;1_26,1_24;1_23;0_38;1_25;1_26,1_24;1_23;0_38;1_25;1_26;0_40;1_21,7,1,1
validation,2_1_24_11_2_16.bin,12,1_24,1,1,1,1_24;0_38;1_25;1_20;1_21,1_24;0_38;1_23;1_25;1_26,1_24;0_38;1_25;1_23;1_26,1_24;0_38;1_23;1_25;1_26;1_20;1_21,7,1,1
validation,2_1_24_11_2_16.bin,20,1_24,12,4,4,1_23;0_37;1_25;0_38;1_26,0_38;0_37;1_23;1_24;1_22,0_38;0_37;1_23;1_24;1_22,0_38;0_37;1_23;1_24;1_22;1_25;1_26,7,1,1
validation,2_1_25_11_2_16.bin,1,1_25,1,1,1,1_25;1_26;0_39;1_23;1_24,1_25;1_26;1_24;1_23;1_27,1_25;1_26;1_24;1_23;0_38,1_25;1_26;1_24;1_23;1_27;0_39,6,1,1
validation,2_1_25_11_2_16.bin,12,1_25,1,1,1,1_25;1_24;1_26;0_38;1_23,1_25;1_24;1_26;1_23;1_27,1_25;1_24;1_26;1_23;0_38,1_25;1_24;1_26;1_23;1_27;0_38,6,1,1
validation,2_1_25_11_2_16.bin,15,1_25,1,1,1,1_25;0_39;1_23;1_26;0_38,1_25;1_26;1_24;1_23;1_27,1_25;1_26;1_24;1_23;0_38,1_25;1_26;1_24;1_23;1_27;0_39;0_38,7,1,1
validation,2_1_25_11_2_16.bin,18,1_25,1,1,1,1_25;0_39;1_23;1_26;0_38,1_25;1_26;1_24;1_23;1_27,1_25;1_26;1_24;1_23;0_38,1_25;1_26;1_24;1_23;1_27;0_39;0_38,7,1,1
validation,2_1_26_11_2_16.bin,8,1_26,4,1,1,1_27;0_37;0_36;1_26;0_38,1_26;1_27;1_25;1_24;0_36,1_26;1_27;0_36;1_25;1_24,1_26;1_27;1_25;1_24;0_36;0_37;0_38,7,1,1
validation,2_1_26_11_2_16.bin,10,1_26,9,1,1,1_27;0_36;0_37;0_38;1_28,1_26;1_27;1_25;0_36;1_24,1_26;1_27;0_36;1_25;1_24,1_26;1_27;1_25;0_36;1_24;0_37;0_38;1_28,8,1,1
validation,2_1_26_11_2_16.bin,16,1_26,1,1,1,1_26;1_25;0_39;1_24;0_35,1_26;1_25;1_24;1_27;0_36,1_26;1_25;1_24;1_23;1_27,1_26;1_25;1_24;1_27;0_36;0_39;0_35,7,1,1
validation,2_1_26_11_2_16.bin,19,1_26,16,2,3,0_42;1_20;0_39;1_28;1_23,1_25;1_26;1_24;1_28;1_27,1_25;1_28;1_26;1_24;0_35,1_25;1_26;1_24;1_28;1_27;0_42;1_20;0_39;1_23,9,1,1
validation,2_1_27_11_2_16.bin,2,1_27,1,1,1,1_27;0_36;0_37;1_29;1_26,1_27;0_36;1_26;0_35;0_37,1_27;0_36;1_26;0_37;0_35,1_27;0_36;1_26;0_35;0_37;1_29,6,1,1
validation,2_1_27_11_2_16.bin,9,1_27,2,1,1,0_36;1_27;1_28;0_37;1_26,1_27;0_36;1_26;0_35;0_37,1_27;0_36;1_26;0_35;0_37,1_27;0_36;1_26;0_35;0_37;1_28,6,1,1
validation,2_1_27_11_2_16.bin,12,1_27,1,1,1,1_27;0_36;0_37;1_29;1_26,1_27;0_36;1_26;0_35;0_37,1_27;0_36;1_26;0_37;0_35,1_27;0_36;1_26;0_35;0_37;1_29,6,1,1
validation,2_1_27_11_2_16.bin,19,1_27,2,1,1,0_36;1_27;0_37;1_26;1_29,1_27;1_26;0_36;0_35;1_25,1_27;1_26;0_36;0_35;1_28,1_27;1_26;0_36;0_35;1_25;0_37;1_29,7,1,1
validation,2_1_28_11_2_16.bin,8,1_28,1,1,1,1_28;0_35;1_29;1_27;0_36,1_28;1_29;1_27;1_26;0_35,1_28;1_29;1_27;1_26;0_35,1_28;1_29;1_27;1_26;0_35;0_36,6,1,1
validation,2_1_28_11_2_16.bin,13,1_28,1,1,1,1_28;0_35;1_29;0_36;1_27,1_28;1_27;1_26;0_36;1_29,1_28;1_27;0_35;1_29;0_36,1_28;1_27;1_26;0_36;1_29;0_35,6,1,1
validation,2_1_28_11_2_16.bin,16,1_28,3,1,1,0_35;1_25;1_28;1_29;1_26,1_28;1_29;1_27;1_26;0_35,1_28;1_29;1_27;1_26;0_35,1_28;1_29;1_27;1_26;0_35;1_25,6,1,1
validation,2_1_28_11_2_16.bin,17,1_28,2,1,1,0_35;1_28;1_29;1_26;0_37,1_28;1_29;1_27;1_25;1_26,1_28;1_29;1_27;0_35;1_26,1_28;1_29;1_27;1_25;1_26;0_35;0_37,7,1,1
validation,2_1_29_11_2_16.bin,1,1_29,4,1,1,0_34;0_36;1_27;1_29;1_28,1_29;0_34;1_28;1_30;1_27,1_29;0_34;1_28;1_30;1_27,1_29;0_34;1_28;1_30;1_27;0_36,6,1,1
validation,2_1_29_11_2_16.bin,5,1_29,1,1,1,1_29;0_35;1_28;1_27;0_33,1_29;1_28;0_34;0_35;1_27,1_29;1_28;0_34;0_35;1_27,1_29;1_28;0_34;0_35;1_27;0_33,6,1,1
validation,2_1_29_11_2_16.bin,14,1_29,1,1,1,1_29;0_35;1_27;0_33;1_28,1_29;1_28;0_34;1_27;0_35,1_29;1_28;0_35;1_27;0_33,1_29;1_28;0_34;1_27;0_35;0_33,6,1,1
validation,2_1_29_11_2_16.bin,18,1_29,1,1,1,1_29;0_35;0_36;1_27;1_28,1_29;1_28;0_34;1_27;0_35,1_29;1_28;0_35;0_36;1_27,1_29;1_28;0_34;1_27;0_35;0_36,6,1,1
