scenario_type,condition,severity,strength,method,target_coverage,selected_packets,actual_coverage,classification_risk,topology_mae_m,severe_error_rate
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,1.0,128,1.0,0.21875,0.9704687500000001,0.015625
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.6,77,0.6015625,0.012987012987012988,0.04402597402597403,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.8,103,0.8046875,0.019417475728155338,0.06582524271844661,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,0.9,116,0.90625,0.05172413793103448,0.23189655172413798,0.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,1.0,128,1.0,0.0625,0.31523437500000007,0.0078125
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.6,77,0.6015625,0.012987012987012988,0.04402597402597403,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.8,103,0.8046875,0.019417475728155338,0.06582524271844661,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,0.9,116,0.90625,0.04310344827586207,0.23189655172413795,0.008620689655172414
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,1.0,128,1.0,0.0625,0.3664843750000001,0.0078125
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.6,77,0.6015625,0.012987012987012988,0.04402597402597403,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.8,103,0.8046875,0.019417475728155338,0.06582524271844661,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,0.9,116,0.90625,0.05172413793103448,0.23189655172413798,0.0
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,1.0,128,1.0,0.0625,0.31523437500000007,0.0078125
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.6,77,0.6015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.8,103,0.8046875,0.038834951456310676,0.13165048543689323,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,0.9,116,0.90625,0.0603448275862069,0.2620689655172414,0.008620689655172414
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,1.0,128,1.0,0.1015625,0.5510156250000001,0.015625
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.6,77,0.6015625,0.012987012987012988,0.04402597402597403,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.8,103,0.8046875,0.04854368932038835,0.22932038834951457,0.009708737864077669
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,0.9,116,0.90625,0.0603448275862069,0.29034482758620694,0.008620689655172414
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,1.0,128,1.0,0.0703125,0.3673437500000001,0.0078125
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.6,77,0.6015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.7,90,0.703125,0.022222222222222223,0.07533333333333335,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.8,103,0.8046875,0.038834951456310676,0.13165048543689323,0.0
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,0.9,116,0.90625,0.0603448275862069,0.2620689655172414,0.008620689655172414
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,1.0,128,1.0,0.0859375,0.4203125000000001,0.0078125
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.4,52,0.40625,0.019230769230769232,0.0021153846153846045,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.5,64,0.5,0.015625,0.0017187499999999911,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.6,77,0.6015625,0.012987012987012988,0.0014285714285714212,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.7,90,0.703125,0.022222222222222223,0.11300000000000002,0.011111111111111112
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.8,103,0.8046875,0.0970873786407767,0.5902912621359224,0.02912621359223301
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,0.9,116,0.90625,0.12931034482758622,0.7560344827586208,0.034482758620689655
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,1.0,128,1.0,0.1640625,0.8696875000000002,0.03125
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.5,64,0.5,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.6,77,0.6015625,0.012987012987012988,0.0014285714285714212,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.7,90,0.703125,0.05555555555555555,0.44955555555555554,0.03333333333333333
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.8,103,0.8046875,0.0970873786407767,0.6221359223300972,0.02912621359223301
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,0.9,116,0.90625,0.1206896551724138,0.6693103448275863,0.02586206896551724
artificial_perturbation,amplitude_noise,level_2,0.1,Fixed fusion,1.0,128,1.0,0.140625,0.7372656250000001,0.0234375
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.4,52,0.40625,0.019230769230769232,0.0021153846153846045,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.5,64,0.5,0.015625,0.0017187499999999911,0.0
