scenario_type,condition,severity,strength,method,method_label,packets,candidate_recall,search_correct,search_accuracy,search_topology_mae_m,search_topology_p95_m,final_correct,final_accuracy,final_topology_mae_m,final_topology_p95_m,severe_error_rate,prediction_changes_vs_lda,beneficial_corrections,harmful_corrections,changed_but_still_wrong,correction_precision,mean_search_runtime_ms,p95_search_runtime_ms,mean_path_switches,mean_garbage_segments
artificial_perturbation,cfo_shift,strength_0.5,0.5,greedy_path,Greedy path,128,0.9921875,108,0.84375,0.6825781250000001,3.3900000000000006,110,0.859375,0.6296093750000001,3.3900000000000006,0.0078125,10,6,3,1,0.6,0.08010969531246914,0.09696295000622968,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.5,0.5,no_pheromone,No pheromone,128,0.9921875,109,0.8515625,0.6560937500000001,3.3900000000000006,110,0.859375,0.6296093750000001,3.3900000000000006,0.0078125,4,3,0,1,0.75,4.522938117187292,4.723920599993647,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.5,0.5,full_aco,Full ACO,128,0.9921875,108,0.84375,0.6825781250000001,3.3900000000000006,109,0.8515625,0.6560937500000001,3.3900000000000006,0.0078125,10,5,3,2,0.5,4.700546851561516,4.881679049992016,0.0,0.0
artificial_perturbation,cfo_shift,strength_1,1.0,average_cost,Average cost,128,0.953125,104,0.8125,0.8397656250000002,5.521999999999971,102,0.796875,1.1780468750000004,6.741499999999999,0.03125,6,3,0,3,0.5,0.0011884218754643072,0.0014436500023862204,,
artificial_perturbation,cfo_shift,strength_1,1.0,greedy_path,Greedy path,128,0.953125,102,0.796875,0.9704687500000001,6.670000000000001,101,0.7890625,1.0729687500000002,6.670000000000002,0.015625,10,5,3,2,0.5,0.07838866406184586,0.09409419999926172,0.0,0.0
artificial_perturbation,cfo_shift,strength_1,1.0,no_pheromone,No pheromone,128,0.953125,104,0.8125,0.9175000000000001,6.670000000000002,102,0.796875,1.1515625,6.741499999999999,0.03125,9,4,1,4,0.4444444444444444,4.515465445312783,4.680137599996215,0.0,0.0
artificial_perturbation,cfo_shift,strength_1,1.0,full_aco,Full ACO,128,0.953125,104,0.8125,0.8397656250000002,5.521999999999971,102,0.796875,1.0208593750000001,6.670000000000002,0.0078125,12,6,3,3,0.5,4.681552679687284,4.826491899994778,0.0,0.0
artificial_perturbation,clean,clean,0.0,average_cost,Average cost,128,1.0,114,0.890625,0.549296875,3.3900000000000006,121,0.9453125,0.28875000000000006,2.2034999999999716,0.0078125,1,1,0,0,1.0,0.0013190312498911894,0.0016103000017864129,,
artificial_perturbation,clean,clean,0.0,greedy_path,Greedy path,128,1.0,117,0.9140625,0.470703125,3.3900000000000006,121,0.9453125,0.31437500000000007,2.2034999999999716,0.0078125,5,3,2,0,0.6,0.07964555468797929,0.0956666500023573,0.0,0.0
artificial_perturbation,clean,clean,0.0,no_pheromone,No pheromone,128,1.0,117,0.9140625,0.44507812500000005,3.3900000000000006,121,0.9453125,0.28875000000000006,2.2034999999999716,0.0078125,1,1,0,0,1.0,4.67755214062504,4.825297700000419,0.0,0.0
artificial_perturbation,clean,clean,0.0,full_aco,Full ACO,128,1.0,118,0.921875,0.41859375000000004,3.3900000000000006,120,0.9375,0.3664843750000001,3.3900000000000006,0.0078125,4,2,2,0,0.5,4.89959633593784,5.033168749998751,0.0,0.0
artificial_perturbation,preamble_missing,strength_1,1.0,average_cost,Average cost,128,1.0,113,0.8828125,0.5775,3.3900000000000006,119,0.9296875,0.34171875000000007,3.3900000000000006,0.0078125,0,0,0,0,,0.001361953124723314,0.0015273000009585753,,
artificial_perturbation,preamble_missing,strength_1,1.0,greedy_path,Greedy path,128,1.0,108,0.84375,0.8389062500000001,6.670000000000002,115,0.8984375,0.5501562500000001,3.3900000000000006,0.015625,6,1,5,0,0.16666666666666666,0.0801373515620929,0.09797489999776587,0.0,0.0
artificial_perturbation,preamble_missing,strength_1,1.0,no_pheromone,No pheromone,128,1.0,115,0.8984375,0.5245312500000001,3.3900000000000006,118,0.921875,0.3673437500000001,3.3900000000000006,0.0078125,1,0,1,0,0.0,4.670066437499954,4.837537500002753,0.0,0.0
artificial_perturbation,preamble_missing,strength_1,1.0,full_aco,Full ACO,128,1.0,114,0.890625,0.5766406250000001,5.521999999999971,117,0.9140625,0.4450781250000001,3.3900000000000006,0.0078125,4,1,3,0,0.25,4.892364867187748,5.025254600000295,0.0,0.0
artificial_perturbation,preamble_missing,strength_2,2.0,average_cost,Average cost,128,1.0,109,0.8515625,0.68171875,3.3900000000000006,112,0.875,0.5766406250000001,3.3900000000000006,0.015625,0,0,0,0,,0.0013427656248010678,0.001566899998550751,,
artificial_perturbation,preamble_missing,strength_2,2.0,greedy_path,Greedy path,128,1.0,95,0.7421875,1.2575,6.670000000000002,111,0.8671875,0.6278906250000001,3.3900000000000006,0.015625,11,5,6,0,0.45454545454545453,0.08084932031204861,0.09872334999698748,0.0,0.0
artificial_perturbation,preamble_missing,strength_2,2.0,no_pheromone,No pheromone,128,1.0,112,0.875,0.6287500000000001,3.3900000000000006,115,0.8984375,0.4715625000000001,3.3900000000000006,0.015625,5,4,1,0,0.8,4.6907841796872685,4.840852299999199,0.0,0.0
artificial_perturbation,preamble_missing,strength_2,2.0,full_aco,Full ACO,128,1.0,111,0.8671875,0.6808593750000002,5.521999999999971,114,0.890625,0.5492968750000001,3.3900000000000006,0.015625,8,5,3,0,0.625,4.894156179687251,5.060539150000665,0.0,0.0
artificial_perturbation,preamble_missing,strength_4,4.0,average_cost,Average cost,128,1.0,105,0.8203125,0.8389062500000001,5.521999999999971,102,0.796875,0.8910156250000001,3.3900000000000006,0.015625,4,4,0,0,1.0,0.0012512734375857981,0.001568650004202254,,
artificial_perturbation,preamble_missing,strength_4,4.0,greedy_path,Greedy path,128,1.0,95,0.7421875,1.154140625,6.670000000000002,102,0.796875,0.8901562500000002,3.3900000000000006,0.015625,11,6,2,3,0.5454545454545454,0.07999541406239485,0.09643750000272176,0.015625,0.0
artificial_perturbation,preamble_missing,strength_4,4.0,no_pheromone,No pheromone,128,1.0,106,0.828125,0.7603125000000002,3.3900000000000006,104,0.8125,0.7603125000000002,3.3900000000000006,0.0078125,7,6,0,1,0.8571428571428571,4.677766921874605,4.829007999999391,0.0,0.0
artificial_perturbation,preamble_missing,strength_4,4.0,full_aco,Full ACO,128,1.0,104,0.8125,0.8645312500000001,5.521999999999971,106,0.828125,0.7594531250000002,3.3900000000000006,0.015625,13,9,1,3,0.6923076923076923,4.901729820312729,5.083889250002116,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.25,0.25,average_cost,Average cost,128,1.0,111,0.8671875,0.6552343750000001,5.521999999999971,119,0.9296875,0.3673437500000001,3.3900000000000006,0.0078125,2,1,0,1,0.5,0.0012252656245159699,0.0016933000004826222,,
artificial_perturbation,segment_anomaly,strength_0.25,0.25,greedy_path,Greedy path,128,1.0,113,0.8828125,0.5484375000000001,3.3900000000000006,118,0.921875,0.3938281250000001,3.3900000000000006,0.0078125,5,2,2,1,0.4,0.08028976562524104,0.09751654999661241,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.25,0.25,no_pheromone,No pheromone,128,1.0,113,0.8828125,0.6031250000000001,5.521999999999971,118,0.921875,0.4194531250000001,3.3900000000000006,0.0078125,3,1,1,1,0.3333333333333333,4.506575195312945,4.645539600004156,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.25,0.25,full_aco,Full ACO,128,1.0,113,0.8828125,0.5766406250000001,3.3900000000000006,118,0.921875,0.3938281250000001,3.3900000000000006,0.0078125,5,2,2,1,0.4,4.6782854375002625,4.841996049994179,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.5,0.5,average_cost,Average cost,128,1.0,106,0.828125,0.7867968750000001,5.521999999999971,117,0.9140625,0.4194531250000001,3.3900000000000006,0.0078125,1,0,1,0,0.0,0.0012555625008570104,0.001610649998440294,,
artificial_perturbation,segment_anomaly,strength_0.5,0.5,greedy_path,Greedy path,128,1.0,109,0.8515625,0.6535156250000002,3.3900000000000006,114,0.890625,0.4980468750000001,3.3900000000000006,0.0078125,4,0,4,0,0.0,0.07885972656307416,0.09959594999386923,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.5,0.5,no_pheromone,No pheromone,128,1.0,112,0.875,0.6031250000000001,3.3900000000000006,117,0.9140625,0.4194531250000001,3.3900000000000006,0.0078125,1,0,1,0,0.0,4.5102298437499355,4.62529990000462,0.0,0.0
artificial_perturbation,segment_anomaly,strength_0.5,0.5,full_aco,Full ACO,128,1.0,109,0.8515625,0.7082031250000002,5.521999999999971,113,0.8828125,0.5501562500000001,3.3900000000000006,0.0078125,5,0,5,0,0.0,4.688234062500185,4.83055000000121,0.0,0.0
artificial_perturbation,segment_anomaly,strength_1,1.0,average_cost,Average cost,128,1.0,98,0.765625,1.1524218750000002,6.670000000000002,108,0.84375,0.8089843750000002,6.670000000000001,0.0078125,3,2,1,0,0.6666666666666666,0.0012222812492135304,0.0015539499983674425,,
